CR_07890W_A	EFG1	C2_06570C_A	C2_06570C_A	Direct
CR_07890W_A	EFG1	C1_02120C_A	SHA3	Direct
CR_07890W_A	EFG1	CR_02300C_A	CR_02300C_A	Direct
CR_07890W_A	EFG1	C4_04850C_A	CSR1	Direct
CR_07890W_A	EFG1	C5_04600C_A	GRR1	Direct
CR_07890W_A	EFG1	C1_05540C_A	C1_05540C_A	Direct
CR_07890W_A	EFG1	CR_03760W_A	CR_03760W_A	Direct
CR_07890W_A	EFG1	CR_03770C_A	RPS30	Direct
CR_07890W_A	EFG1	C1_05150C_A	C1_05150C_A	Direct
CR_07890W_A	EFG1	C1_13030C_A	C1_13030C_A	Direct
CR_07890W_A	EFG1	C1_12390C_A	RPL27A	Direct
CR_07890W_A	EFG1	C1_12380C_A	WRS1	Direct
CR_07890W_A	EFG1	C2_10620W_A	RPS4A	Direct
CR_07890W_A	EFG1	C3_00720W_A	PMA1	Direct
CR_07890W_A	EFG1	C3_05160C_A	C3_05160C_A	Direct
CR_07890W_A	EFG1	CR_07400C_A	LPD1	Direct
CR_07890W_A	EFG1	C1_06580W_A	RPS23A	Direct
CR_07890W_A	EFG1	CR_08150W_A	RPS20	Direct
CR_07890W_A	EFG1	C6_01970C_A	RPL25	Direct
CR_07890W_A	EFG1	C1_14360C_A	WSC4	Direct
CR_07890W_A	EFG1	C3_05990C_A	C3_05990C_A	Direct
CR_07890W_A	EFG1	C4_03670W_A	SPO75	Direct
CR_07890W_A	EFG1	C5_01110W_A	C5_01110W_A	Direct
CR_07890W_A	EFG1	C1_11050W_A	C1_11050W_A	Direct
CR_07890W_A	EFG1	C1_11040W_A	RPL29	Direct
CR_07890W_A	EFG1	C1_03430W_A	C1_03430W_A	Direct
CR_07890W_A	EFG1	C4_06760W_A	GUT2	Direct
CR_07890W_A	EFG1	C4_04600C_A	C4_04600C_A	Direct
CR_07890W_A	EFG1	C1_05560W_A	RIB4	Direct
CR_07890W_A	EFG1	C5_02110W_A	C5_02110W_A	Direct
CR_07890W_A	EFG1	C3_04090W_A	SBP1	Direct
CR_07890W_A	EFG1	CR_07420W_A	KGD2	Direct
CR_07890W_A	EFG1	C3_07730W_A	WOR4	Direct Negative
CR_07890W_A	EFG1	C3_03910W_A	HTA1	Direct
CR_07890W_A	EFG1	C7_00720W_A	RTF1	Direct
CR_07890W_A	EFG1	C2_03530W_A	C2_03530W_A	Direct
CR_07890W_A	EFG1	C2_08490W_A	DSE1	Direct
CR_07890W_A	EFG1	C7_00630C_A	C7_00630C_A	Direct
CR_07890W_A	EFG1	CR_07060C_A	CRZ2	Direct
CR_07890W_A	EFG1	C4_06740C_A	C4_06740C_A	Direct
CR_07890W_A	EFG1	C4_03430W_A	MOH1	Direct
CR_07890W_A	EFG1	C3_06950W_A	C3_06950W_A	Direct
CR_07890W_A	EFG1	CR_00920W_A	CCE1	Direct
CR_07890W_A	EFG1	C1_13100W_A	C1_13100W_A	Direct
CR_07890W_A	EFG1	C7_00660W_A	GAC1	Direct
CR_07890W_A	EFG1	CR_09390C_A	CR_09390C_A	Direct
CR_07890W_A	EFG1	C5_01090C_A	C5_01090C_A	Direct
CR_07890W_A	EFG1	CR_00050W_A	INO2	Direct
CR_07890W_A	EFG1	CR_00040C_A	CR_00040C_A	Direct
CR_07890W_A	EFG1	C6_03360C_A	C6_03360C_A	Direct
CR_07890W_A	EFG1	C6_03370W_A	C6_03370W_A	Direct
CR_07890W_A	EFG1	CR_09410W_A	CR_09410W_A	Direct
CR_07890W_A	EFG1	C1_03890W_A	C1_03890W_A	Direct
CR_07890W_A	EFG1	C4_05790W_A	C4_05790W_A	Direct
CR_07890W_A	EFG1	CR_01470W_A	CSP37	Direct
CR_07890W_A	EFG1	C4_03500C_A	C4_03500C_A	Direct
CR_07890W_A	EFG1	C6_03600C_A	C6_03600C_A	Direct
CR_07890W_A	EFG1	C6_03610W_A	FGR17	Direct
CR_07890W_A	EFG1	C7_03550C_A	C7_03550C_A	Direct
CR_07890W_A	EFG1	C5_03900W_A	PGA56	Direct
CR_07890W_A	EFG1	C1_10150W_A	WOR1	Direct
CR_07890W_A	EFG1	C1_08940C_A	MSN4	Direct
CR_07890W_A	EFG1	C1_08950W_A	PFK26	Direct
CR_07890W_A	EFG1	CR_02280W_A	PGA23	Direct
CR_07890W_A	EFG1	CR_02270C_A	CR_02270C_A	Direct
CR_07890W_A	EFG1	C6_01720C_A	SUR7	Direct
CR_07890W_A	EFG1	C2_07830W_A	FLC3	Direct
CR_07890W_A	EFG1	C2_07820C_A	PHO86	Direct
CR_07890W_A	EFG1	CR_00020W_A	TLO1	Direct
CR_07890W_A	EFG1	CR_00010C_A	CR_00010C_A	Direct
CR_07890W_A	EFG1	C2_09890W_A	SMM1	Direct
CR_07890W_A	EFG1	C2_09880C_A	C2_09880C_A	Direct Positive
CR_07890W_A	EFG1	C1_04990C_A	C1_04990C_A	Direct
CR_07890W_A	EFG1	C3_06310C_A	ISW2	Direct
CR_07890W_A	EFG1	C3_02640C_A	ZCF1	Direct
CR_07890W_A	EFG1	C3_02660W_A	C3_02660W_A	Direct
CR_07890W_A	EFG1	C4_06420W_A	C4_06420W_A	Direct
CR_07890W_A	EFG1	C1_01920W_A	ROA1	Direct
CR_07890W_A	EFG1	C4_04860W_A	C4_04860W_A	Direct
CR_07890W_A	EFG1	C5_04050W_A	C5_04050W_A	Direct
CR_07890W_A	EFG1	C3_04640W_A	ZCF31	Direct
CR_07890W_A	EFG1	C5_01830C_A	HAL9	Direct
CR_07890W_A	EFG1	C3_03140C_A	DAL4	Direct
CR_07890W_A	EFG1	C3_03150W_A	C3_03150W_A	Direct
CR_07890W_A	EFG1	C5_02940C_A	MIG1	Direct
CR_07890W_A	EFG1	C1_07120W_A	GAP4	Direct
CR_07890W_A	EFG1	CR_10690W_A	POP3	Direct
CR_07890W_A	EFG1	C6_01730W_A	FGR37	Direct
CR_07890W_A	EFG1	C1_10000C_A	CPP1	Direct
CR_07890W_A	EFG1	C1_14350W_A	C1_14350W_A	Direct
CR_07890W_A	EFG1	CR_05580C_A	CR_05580C_A	Direct
CR_07890W_A	EFG1	CR_05570C_A	RNR3	Direct
CR_07890W_A	EFG1	C1_02170C_A	GAL102	Direct
CR_07890W_A	EFG1	C1_02180W_A	GAL7	Direct
CR_07890W_A	EFG1	C2_08150W_A	C2_08150W_A	Direct
CR_07890W_A	EFG1	CR_07080W_A	CR_07080W_A	Direct
CR_07890W_A	EFG1	CR_06590C_A	RGS2	Direct
CR_07890W_A	EFG1	CR_07810W_A	YHB5	Direct
CR_07890W_A	EFG1	C3_06850W_A	FCR1	Direct
CR_07890W_A	EFG1	C3_06830C_A	C3_06830C_A	Direct
CR_07890W_A	EFG1	C1_14290C_A	MDG1	Direct
CR_07890W_A	EFG1	C2_03610W_A	FMO2	Direct
CR_07890W_A	EFG1	C7_03560W_A	C7_03560W_A	Direct
CR_07890W_A	EFG1	C2_05640W_A	C2_05640W_A	Direct
CR_07890W_A	EFG1	C3_05460W_A	C3_05460W_A	Direct
CR_07890W_A	EFG1	C2_08060W_A	C2_08060W_A	Direct
CR_07890W_A	EFG1	C2_08050C_A	SIT1	Direct Positive
CR_07890W_A	EFG1	C3_04730C_A	C3_04730C_A	Direct
CR_07890W_A	EFG1	C2_00120C_A	EMC9	Direct
CR_07890W_A	EFG1	C2_00140W_A	NDT80	Direct
CR_07890W_A	EFG1	C4_02250C_A	BGL2	Direct
CR_07890W_A	EFG1	C1_03190C_A	ECM33	Direct
CR_07890W_A	EFG1	C1_08270C_A	MED15	Direct
CR_07890W_A	EFG1	C6_02810C_A	C6_02810C_A	Direct
CR_07890W_A	EFG1	C6_02830W_A	MNN45	Direct
CR_07890W_A	EFG1	C1_12910W_A	C1_12910W_A	Direct
CR_07890W_A	EFG1	C3_03370C_A	C3_03370C_A	Direct
CR_07890W_A	EFG1	C3_03380W_A	C3_03380W_A	Direct
CR_07890W_A	EFG1	C1_01510W_A	C1_01510W_A	Direct
